"","x"
"149",1671.84
"150",1669.52
"151",1686.71
"152",1685.51
"153",1671.01
"154",1683.06
"155",1685.7
"156",1685.66
"157",1678.77
"158",1685.85
"159",1683.71
"160",1686.59
"161",1683.73
"162",1679.14
"163",1685.03
"164",1680.81
"165",1676.17
"166",1688.46
"167",1696.55
"168",1690.24
"169",1711.35
"170",1711.29
"171",1729.86
"172",1716.63
"173",1743.36
"174",1745.17
"175",1746.76
"176",1749.29
"177",1763.86
"178",1762.27
"179",1762.29
"180",1746.77
"181",1753.5
"182",1753.21
"183",1739.88
"184",1723.92
"185",1734.42
"186",1723.13
"187",1732.92
"188",1729.89
"189",1725.74
"190",1730.9
"191",1714.17
"192",1716.2
"193",1719.06
"194",1718.21
"195",1698.84
"196",1714.76
"197",1718.35
"198",1706.69
"199",1723.37
"200",1716.18
"201",1738.78
"202",1737.41
"203",1714.77
"204",1724.24
"205",1733.77
"206",1729.96
"207",1734.46
"208",1744.35
"209",1746.88
"210",1746.88
"211",1746.88
"212",1747.47
"213",1753.1
"214",1745.17
"215",1745.72
"216",1742.92
"217",1731.68
"218",1731.18
"219",1728.09
"220",1728.09
"221",1731.29
"222",1733.82
"223",1745.78
"224",1752.57
"225",1748.13
"226",1750.7
"227",1747.91
"228",1745.79
"229",1735.34
"230",1719.92
"231",1763.59
"232",1766.76
"233",1785.4
"234",1783.56
"235",1804.42
"236",1812.33
"237",1799.51
"238",1792.8
"239",1792.8
"240",1806.36
"241",1798.23
"242",1800.62
"243",1786.19
"244",1791.35
"245",1789.05
"246",1789.05
"247",1784.71
"248",1789.45
"249",1779.74
"250",1786.97
"251",1773.25
"252",1781.62
"253",1773.75
"254",1773.75
"255",1776.34
"256",1770.72
"257",1772.39
"258",1762.55
"259",1764.35
"260",1752.83
"261",1755.98
"262",1754.95
"263",1759.9
"264",1759.84
"265",1776.5
"266",1769.98
"267",1766.98
"268",1752.29
"269",1760.17
"270",1750.32
"271",1731.44
"272",1735.51
"273",1733.84
"274",1730.78
"275",1699.46
"276",1652.71
"277",1654.09
"278",1636.81
"279",1622.81
"280",1613.36
"281",1617.78
"282",1617.18
"283",1637.62
"284",1622.2
"285",1608.49
"286",1605.11
"287",1609.61
"288",1624.94
"289",1618.07
"290",1611.96
"291",1578.95
"292",1561.39
"293",1547.87
"294",1548.63
"295",1560.16
"296",1554.76
"297",1531.87
"298",1526.14
"299",1509.03
"300",1530.03
"301",1484.97
"302",1464.03
"303",1475.11
"304",1516.12
"305",1519.69
"306",1529.97
"307",1516.44
"308",1515.53
"309",1543.89
"310",1534.72
"311",1538.66
"312",1536.71
"313",1523.83
"314",1527.1
"315",1530.2
"316",1601.5
"317",1580.29
"318",1595.09
"319",1579.47
"320",1600.59
"321",1566
"322",1557.01
"323",1542.74
"324",1536.3
"325",1510.66
"326",1481.03
"327",1483.83
"328",1470.09
"329",1484.78
"330",1475.41
"331",1402.34
"332",1421.49
"333",1434.61
"334",1446.32
"335",1437.65
"336",1441.57
"337",1471.64
"338",1453.95
"339",1453.79
"340",1458.02
"341",1479.59
"342",1504.89
"343",1496.54
"344",1511
"345",1528.86
"346",1534.02
"347",1536.6
"348",1508.19
"349",1493.54
"350",1489.68
"351",1482.44
"352",1483.34
"353",1470.57
"354",1484.84
"355",1487.71
"356",1508.63
"357",1515.27
"358",1509.84
"359",1542.28
"360",1541.79
"361",1542.48
"362",1550.27
"363",1550.27
"364",1543.37
"365",1547.84
"366",1523.62
"367",1526.68
"368",1513.42
"369",1523.02
"370",1529.69
"371",1545.12
"372",1546.82
"373",1528.12
"374",1530.65
"375",1526.25
"376",1519.48
"377",1506.65
"378",1504.3
"379",1480.65
"380",1476.7
"381",1478.07
"382",1479.62
"383",1477.55
"384",1472.59
"385",1495.6
"386",1517.45
"387",1520.93
"388",1527.06
"389",1527.06
"390",1527.06
"391",1547.51
"392",1545.82
"393",1538.43
"394",1538.43
"395",1538.43
"396",1538.04
"397",1554.03
"398",1551.17
"399",1538.37
"400",1529.1
"401",1522.26
"402",1533.79
"403",1510.18
"404",1526.91
"405",1555.52
"406",1581.49
"407",1572.61
"408",1572.69
"409",1580.64
"410",1593.35
"411",1571.28
"412",1575.59
"413",1561.78
"414",1572.68
"415",1574.04
"416",1590.33
"417",1584.14
"418",1605.91
"419",1615.98
"420",1643.83
"421",1646.85
"422",1639.12
"423",1642.8
"424",1659.07
"425",1649.64
"426",1674.93
"427",1651.6
"428",1656.35
"429",1670.9
"430",1683.3
"431",1679.41
"432",1658.09
"433",1652.92
"434",1661.96
"435",1680.02
"436",1691.37
"437",1701.46
"438",1690.48
"439",1685.46
"440",1686.15
"441",1702.27
"442",1711.91
"443",1714.48
"444",1708.65
"445",1688.74
"446",1705.05
"447",1700.28
"448",1689.71
"449",1696.38
"450",1686.57
"451",1656.59
"452",1653.2
"453",1666.72
"454",1663.27
"455",1667.26
"456",1675.18
"457",1686.64
"458",1676.84
"459",1670.04
"460",1657.06
"461",1658.36
"462",1667.64
"463",1654.6
"464",1658.13
"465",1658.13
"466",1658.13
"467",1671.54
"468",1674.95
"469",1674.67
"470",1678.65
"471",1687.14
"472",1680.06
"473",1666.49
"474",1680.01
"475",1656.03
"476",1643.53
"477",1636.59
"478",1630.88
"479",1618.6
"480",1626.83
"481",1632
"482",1619.92
"483",1628.88
"484",1617.74
"485",1607.7
"486",1616.45
"487",1613.46
"488",1632.99
"489",1636.02
"490",1632.35
"491",1630.37
"492",1619.26
"493",1606.64
"494",1606.64
"495",1613.98
"496",1608.58
"497",1623.05
"498",1617.18
"499",1633.18
"500",1627.21
"501",1627.21
"502",1625.59
"503",1628.53
"504",1630.56
"505",1638.47
"506",1660.88
"507",1662.28
"508",1679.69
"509",1679.69
"510",1685.85
"511",1686.44
"512",1684.57
"513",1689.93
"514",1681.47
"515",1687.14
"516",1697.26
"517",1698.33
"518",1690.96
"519",1692.16
"520",1699.52
"521",1712.33
"522",1703.05
"523",1700.93
"524",1698.36
"525",1697.39
"526",1694.83
"527",1705.66
"528",1739.48
"529",1798.63
"530",1798.36
"531",1808.74
"532",1806.52
"533",1815.63
"534",1807.12
"535",1829.36
"536",1835.09
"537",1826.45
"538",1821.28
"539",1828.53
"540",1830.61
"541",1859.49
"542",1846.02
"543",1832.2
"544",1823.4
"545",1823.07
"546",1818.1
"547",1857.36
"548",1861.22
"549",1870.8
"550",1878.94
"551",1870.24
"552",1864.51
"553",1894.56
"554",1908.69
"555",1917.69
"556",1903.44
"557",1918.75
"558",1930.29
"559",1937.77
"560",1909.53
"561",1893.48
"562",1907.65
"563",1915.59
"564",1890.58
"565",1909.54
"566",1929.56
"567",1931.88
"568",1923.67
"569",1928.63
"570",1920.43
"571",1911.15
"572",1878.77
"573",1870.32
"574",1870.46
"575",1868.28
"576",1874.38
"577",1869.25
"578",1852.81
"579",1862.62
"580",1884.67
"581",1922.69
"582",1922.05
"583",1899.54
"584",1902.14
"585",1890.18
"586",1914.4
"587",1915.61
"588",1908.97
"589",1910.23
"590",1920.46
"591",1934.99
"592",1973.45
"593",1994.09
"594",1991.95
"595",2015.71
"596",2009.28
"597",2004.11
"598",1999.6
"599",1995.35
"600",2023.26
"601",2032.25
"602",2036.93
"603",2029.87
"604",2048.05
"605",2083.62
"606",2061.18
"607",2048.75
"608",2040.97
"609",2053.66
"610",2064.98
"611",2068.51
"612",2086.4
"613",2086.22
"614",2057.1
"615",2013.65
"616",2007.5
"617",2040.74
"618",2020.11
"619",2021.81
"620",2023.06
"621",2047.2
"622",2070.17
"623",2070.17
"624",2075.99
"625",2072.13
"626",2020.36
"627",2027.99
"628",2036.45
"629",2057.8
"630",2045.25
"631",2052.09
"632",2052.92
"633",2089.77
"634",2099.76
"635",2128.3
"636",2118.01
"637",2127.39
"638",2165.95
"639",2166.58
"640",2165.5
"641",2163.83
"642",2128.07
"643",2129.52
"644",2144.03
"645",2154.76
"646",2188.18
"647",2183.78
"648",2209.17
"649",2227.63
"650",2227.63
"651",2266.7
"652",2236.91
"653",2229.62
"654",2255.29
"655",2255.29
"656",2274.62
"657",2249.85
"658",2233.61
"659",2220.63
"660",2224.95
"661",2225
"662",2228.1
"663",2182.06
"664",2142.37
"665",2151.05
"666",2115.56
"667",2130.35
"668",2132.52
"669",2098.36
"670",2073.94
"671",2107.29
"672",2090.78
"673",2128.66
"674",2123.31
"675",2156.61
"676",2192.6
"677",2181.88
"678",2184.05
"679",2137.08
"680",2143.9
"681",2095.11
"682",2099.57
"683",2116.43
"684",2119.69
"685",2108.77
"686",2101.93
"687",2130.71
"688",2135.25
"689",2162.29
"690",2133.85
"691",2108.06
"692",2113.64
"693",2140.25
"694",2082.9
"695",2075.33
"696",2103.24
"697",2057.2
"698",2018.69
"699",2044.45
"700",2076.76
"701",2132.12
"702",2125.47
"703",2118.01
"704",2124.51
"705",2101.89
"706",2169.4
"707",2178.91
"708",2168.11
"709",2160.45
"710",2140.39
"711",2130.55
"712",2141.7
"713",2162.96
"714",2144.36
"715",2144
"716",2167.72
"717",2162.82
"718",2151.84
"719",2142.88
"720",2142.88
"721",2142.88
"722",2177.09
"723",2184.89
"724",2202.57
"725",2203.18
"726",2224.85
"727",2211.19
"728",2215.19
"729",2198.24
"730",2211.92
"731",2218.37
"732",2193.89
"733",2194.09
"734",2194.41
"735",2218.13
"736",2208.68
"737",2241.36
"738",2256.98
"739",2237.82
"740",2252.51
"741",2266.72
"742",2261.71
"743",2241.85
"744",2249.78
"745",2233.55
"746",2218.77
"747",2241.34
"748",2248.02
"749",2248.02
"750",2257.33
"751",2272.96
"752",2268.11
"753",2254.21
"754",2245.79
"755",2238.97
"756",2238.97
"757",2188.01
"758",2137.56
"759",2146
"760",2112.8
"761",2129.76
"762",2137.34
"763",2113.62
"764",2120.23
"765",2158.88
"766",2163.59
"767",2131.8
"768",2143.93
"769",2131.14
"770",2143.58
"771",2084.42
"772",2088.44
"773",2073.21
"774",2047.29
"775",2031.8
"776",1986.42
"777",1957.08
"778",2004.93
"779",2032.52
"780",2005.07
"781",2000.48
"782",2022.25
"783",2042.45
"784",2020.85
"785",2040.69
"786",2061.7
"787",2034.64
"788",2031.33
"789",2049.1
"790",2047.83
"791",2069.46
"792",2048.57
"793",2051.25
"794",2070.71
"795",2103.54
"796",2116.96
"797",2129.86
"798",2120.97
"799",2126.75
"800",2148.23
"801",2144.21
"802",2163.32
"803",2135.93
"804",2134.12
"805",2152.19
"806",2161.5
"807",2193.63
"808",2190.83
"809",2176.66
"810",2188.81
"811",2182.32
"812",2160.56
"813",2166.51
"814",2156.31
"815",2133.74
"816",2134.34
"817",2152.65
"818",2166.56
"819",2151.44
"820",2143.84
"821",2113.37
"822",2121.25
"823",2132.98
"824",2153.48
"825",2190.58
"826",2215.72
"827",2205.82
"828",2207.09
"829",2185.78
"830",2197.38
"831",2173.6
"832",2158.07
"833",2167.68
"834",2178.1
"835",2155.58
"836",2155.81
"837",2157.15
"838",2118.17
"839",2129.36
"840",2097.45
"841",2100.55
"842",2059.15
"843",2067.17
"844",2072.81
"845",2097.33
"846",2057.83
"847",2056.89
"848",2070.36
"849",2016.08
"850",2002.3
"851",2002.3
"852",1988.67
"853",1946.49
"854",1965.41
"855",1977.67
"856",2048.56
"857",2087.71
"858",2072.68
"859",2108.08
"860",2118.52
"861",2095.58
"862",2069.58
"863",2055.94
"864",2048.15
"865",2016.6
"866",2022.64
"867",1995.85
"868",2009.45
"869",2026.37
"870",2064.86
"871",2061.58
"872",2066.18
"873",2039.91
"874",2061.37
"875",2069.39
"876",2043.3
"877",2056.36
"878",2090.78
"879",2098.04
"880",2073.67
"881",2091.04
"882",2112.21
"883",2112.21
"884",2091.94
"885",2089.48
"886",2097.2
"887",2073.29
"888",2040.05
"889",2058.79
"890",2056.27
"891",2050.82
"892",2036.24
"893",2057.08
"894",2045.54
"895",2042.38
"896",2067.26
"897",2046.99
"898",2044.04
"899",2041.85
"900",2024.19
"901",2003.64
"902",2019.13
"903",2040.94
"904",2054.23
"905",2069.9
"906",2066.59
"907",2080.16
"908",2095.5
"909",2102.25
"910",2100.98
"911",2100.98
"912",2110.77
"913",2097.34
"914",2074.68
"915",2097.51
"916",2079.19
"917",2068.92
"918",2072.9
"919",2051.46
"920",2058.2
"921",2053.41
"922",2062.08
"923",2061.76
"924",2059.68
"925",2064.14
"926",2088.25
"927",2081.39
"928",2085.62
"929",2079.6
"930",2050.86
"931",2013.03
"932",2027.67
"933",2026.97
"934",2040.79
"935",2030.56
"936",2026.68
"937",2024.82
"938",2047.44
"939",2038.46
"940",2077.94
"941",2085.08
"942",2093.01
"943",2087.78
"944",2117.8
"945",2127.56
"946",2118.96
"947",2128.33
"948",2135.49
"949",2112.06
"950",2119.29
"951",2101.98
"952",2101.82
"953",2096.26
"954",2126.44
"955",2117.59
"956",2106.05
"957",2097.85
"958",2127.21
"959",2116.64
"960",2094.16
"961",2069.95
"962",2041.26
"963",2029.38
"964",1989.2
"965",2008.85
"966",1974.14
"967",2022.5
"968",1995.22
"969",2016.15
"970",1979.52
"971",1984.99
"972",1984.15
"973",1978.07
"974",1935.08
"975",1935.87
"976",1928.82
"977",1911.7
"978",1918.85
"979",1949.76
"980",1914.69
"981",1934.96
"982",1965.68
"983",1972.59
"984",1976.52
"985",1978.71
"986",1980.81
"987",1979.26
"988",1991.08
"989",1982.99
"990",1982.99
"991",1982.99
"992",1954.62
"993",1943.88
"994",1955.33
"995",1987.7
"996",1978.97
"997",2007.57
"998",2028.52
"999",2024.25
"1000",2017.95
"1001",2017.95
"1002",2036.47
"1003",2037.99
"1004",2034.15
"1005",2021.22
"1006",2030.65
"1007",2050.66
"1008",2064.41
"1009",2086.41
"1010",2102.4
"1011",2092
"1012",2109.36
"1013",2088.99
"1014",2083.8
"1015",2064.42
"1016",2096.87
"1017",2083.55
"1018",2105.88
"1019",2105.88
"1020",2065.71
"1021",2069.26
"1022",2081.46
"1023",2099.95
"1024",2119.24
"1025",2132.72
"1026",2132.72
"1027",2154.17
"1028",2136.72
"1029",2137.21
"1030",2107.16
"1031",2127.79
"1032",2124.25
"1033",2124.84
"1034",2130.78
"1035",2125.06
"1036",2154.13
"1037",2140.36
"1038",2144.88
"1039",2144.88
"1040",2144.88
"1041",2137.36
"1042",2128.99
"1043",2091.3
"1044",2094.68
"1045",2089.04
"1046",2099.68
"1047",2110.13
"1048",2117.63
"1049",2111.35
"1050",2163.37
"1051",2184.39
"1052",2194.15
"1053",2200.32
"1054",2193.72
"1055",2191.25
"1056",2201.36
"1057",2183.71
"1058",2195.31
"1059",2183.52
"1060",2196.54
"1061",2232.02
"1062",2232.23
"1063",2237.73
"1064",2239.36
"1065",2217.91
"1066",2222.51
"1067",2211.26
"1068",2249.6
"1069",2234.86
"1070",2236.68
"1071",2244.56
"1072",2236.89
"1073",2222.28
"1074",2236.72
"1075",2228.44
"1076",2208.41
"1077",2236.73
"1078",2251.64
"1079",2253.93
"1080",2265.86
"1081",2269.6
"1082",2258.97
"1083",2262.66
"1084",2253.91
"1085",2257.34
"1086",2240.31
"1087",2230.27
"1088",2251.3
"1089",2234.23
"1090",2242.76
"1091",2263.08
"1092",2266.57
"1093",2266.37
"1094",2263.27
"1095",2266.77
"1096",2268.26
"1097",2266.07
"1098",2300.72
"1099",2300.29
"1100",2305.58
"1101",2289.49
"1102",2306.66
"1103",2294.15
"1104",2275.72
"1105",2204.44
"1106",2212.97
"1107",2232.02
"1108",2190.9
"1109",2184.24
"1110",2201.27
"1111",2197.01
"1112",2197.01
"1113",2211.6
"1114",2191.54
"1115",2176.35
"1116",2157.41
"1117",2137.01
"1118",2153.56
"1119",2159.73
"1120",2206.11
"1121",2193.85
"1122",2185.52
"1123",2197.57
"1124",2176.09
"1125",2148.12
"1126",2116.86
"1127",2114.88
"1128",2140.74
"1129",2142.74
"1130",2112.01
"1131",2149.71
"1132",2165.76
"1133",2182.11
"1134",2180.49
"1135",2169.69
"1136",2168.57
"1137",2174.27
"1138",2184.05
"1139",2182.47
"1140",2174.78
"1141",2195.15
"1142",2197.34
"1143",2196.64
"1144",2199.29
"1145",2196.59
"1146",2204.01
"1147",2201.9
"1148",2194.53
"1149",2197.26
"1150",2210.92
"1151",2247.97
"1152",2242.91
"1153",2249.75
"1154",2254.95
"1155",2266.56
"1156",2261.08
"1157",2269.34
"1158",2274.94
"1159",2260.62
"1160",2277.7
"1161",2277.7
"1162",2278.64
"1163",2283.26
"1164",2286.21
"1165",2283.84
"1166",2240.24
"1167",2241.43
"1168",2268.07
"1169",2268.35
"1170",2280.81
"1171",2280.81
"1172",2280.81
"1173",2280.44
"1174",2273.9
"1175",2260.69
"1176",2260.69
"1177",2307.7
"1178",2326.18
"1179",2332.81
"1180",2315.66
"1181",2336.76
"1182",2351.47
"1183",2340.31
"1184",2330.98
"1185",2353.89
"1186",2361.38
"1187",2379.43
"1188",2375.63
"1189",2389.62
"1190",2400.58
"1191",2391.74
"1192",2393.12
"1193",2436.68
"1194",2437.02
"1195",2449.71
"1196",2437.7
"1197",2456.09
"1198",2463
"1199",2472.53
"1200",2459.81
"1201",2416.84
"1202",2437.98
"1203",2442.43
"1204",2411.49
"1205",2435.07
"1206",2428.59
"1207",2436.09
"1208",2427.77
"1209",2426.51
"1210",2423.6
"1211",2387.6
"1212",2373.01
"1213",2401.59
"1214",2421.93
"1215",2449.52
"1216",2438.73
"1217",2449.09
"1218",2486.95
"1219",2485.18
"1220",2488.85
"1221",2486.83
"1222",2472.52
"1223",2471.38
"1224",2479.38
"1225",2448.8
"1226",2419.72
"1227",2415.29
"1228",2417
"1229",2432.46
"1230",2458
"1231",2472.55
"1232",2484.74
"1233",2491.73
"1234",2505.32
"1235",2479.84
"1236",2514.8
"1237",2505.78
"1238",2523.81
"1239",2502.94
"1240",2489.35
"1241",2500.75
"1242",2508.11
"1243",2489.52
"1244",2498.75
"1245",2498.75
"1246",2498.75
"1247",2510.81
"1248",2525.59
"1249",2508.12
"1250",2526.74
"1251",2540.79
"1252",2547.32
"1253",2519.82
"1254",2524.18
"1255",2535.86
"1256",2549.27
"1257",2549.12
"1258",2524.84
"1259",2538.68
"1260",2539.88
"1261",2505.97
"1262",2492.63
"1263",2492.63
"1264",2465.49
"1265",2472.43
"1266",2473.52
"1267",2476.79
"1268",2466.21
"1269",2470.57
"1270",2499.02
"1271",2496.33
"1272",2528.2
"1273",2534.4
"1274",2534.4
"1275",2552.29
"1276",2541.98
"1277",2564.12
"1278",2548.79
"1279",2546.55
"1280",2549.53
"1281",2549.53
"1282",2559.15
"1283",2548.53
"1284",2535.78
"1285",2523.81
"1286",2543.99
"1287",2550.42
"1288",2551.03
"1289",2559.02
"1290",2536.03
"1291",2552.96
"1292",2571.1
"1293",2569.9
"1294",2566.13
"1295",2544.9
"1296",2549.71
"1297",2554.12
"1298",2546.04
"1299",2532.22
"1300",2547.78
"1301",2562.19
"1302",2578.36
"1303",2572.06
"1304",2551.8
"1305",2570.44
"1306",2573.44
"1307",2565.32
"1308",2566.32
"1309",2578.74
"1310",2568.79
"1311",2561.51
"1312",2562.24
"1313",2573
"1314",2561.95
"1315",2548.97
"1316",2529.5
"1317",2475.98
"1318",2497.69
"1319",2505.56
"1320",2498.35
"1321",2468.32
"1322",2488.82
"1323",2459.13
"1324",2464.51
"1325",2469.51
"1326",2472.25
"1327",2466.84
"1328",2491.5
"1329",2504.16
"1330",2520.26
"1331",2520.52
"1332",2527.73
"1333",2541.41
"1334",2534.63
"1335",2532.96
"1336",2529.14
"1337",2545.65
"1338",2544.61
"1339",2542.75
"1340",2567.96
"1341",2556.25
"1342",2562.12
"1343",2534.44
"1344",2559.42
"1345",2562.12
"1346",2554.42
"1347",2563.59
"1348",2556.64
"1349",2548.84
"1350",2534.49
"1351",2538.34
"1352",2528.73
"1353",2526.18
"1354",2532.55
"1355",2542.74
"1356",2549.71
"1357",2568.77
"1358",2568.7
"1359",2588.04
"1360",2614.5
"1361",2630.24
"1362",2626.43
"1363",2621.2
"1364",2625.46
"1365",2641.5
"1366",2624.18
"1367",2643.42
"1368",2663.1
"1369",2664.96
"1370",2659.86
"1371",2655.49
"1372",2654.34
"1373",2685.29
"1374",2685.29
"1375",2704.25
"1376",2705.21
"1377",2702.6
"1378",2685.23
"1379",2683.52
"1380",2692.69
"1381",2700.83
"1382",2718.73
"1383",2705.06
"1384",2717.5
"1385",2727.56
"1386",2733.67
"1387",2721.74
"1388",2678.89
"1389",2681.94
"1390",2690.79
"1391",2703.33
"1392",2675.5
"1393",2664.72
"1394",2671.4
"1395",2670.19
"1396",2678.73
"1397",2716.16
"1398",2735.28
"1399",2724.25
"1400",2732.29
"1401",2730.44
"1402",2764
"1403",2770.61
"1404",2784.39
"1405",2800.6
"1406",2768.68
"1407",2781.54
"1408",2766.08
"1409",2765.29
"1410",2769.47
"1411",2800.52
"1412",2808.62
"1413",2793.86
"1414",2829.68
"1415",2848.84
"1416",2853.46
"1417",2900.76
"1418",2880.89
"1419",2894.43
"1420",2832.53
"1421",2870.3
"1422",2890.95
"1423",2836.36
"1424",2846.94
"1425",2815.77
"1426",2841.16
"1427",2808.5
"1428",2814.23
"1429",2824.83
"1430",2835.54
"1431",2844.09
"1432",2844.09
"1433",2844.09
"1434",2844.09
"1435",2859.22
"1436",2880.07
"1437",2880.07
"1438",2880.07
"1439",2820.81
"1440",2863.26
"1441",2890.2
"1442",2876.34
"1443",2904.08
"1444",2936.69
"1445",2915.81
"1446",2956.78
"1447",2978.84
"1448",2976.56
"1449",2996.12
"1450",3006.87
"1451",2999.19
"1452",3000.66
"1453",3026.63
"1454",3037.28
"1455",2982.63
"1456",2992.55
"1457",3028.27
"1458",2997.95
"1459",3018.58
"1460",3037.7
"1461",3064.7
"1462",3067.48
"1463",3114.73
"1464",3124.78
"1465",3161.36
"1466",3185.72
"1467",3191.45
"1468",3211.01
"1469",3256.86
"1470",3249.17
"1471",3260.3
"1472",3230.83
"1473",3209.04
"1474",3197.09
"1475",3203.79
"1476",3180.63
"1477",3233.34
"1478",3245.02
"1479",3272.58
"1480",3261.04
"1481",3258.74
"1482",3345.09
"1483",3375.45
"1484",3396.55
"1485",3419.51
"1486",3426.77
"1487",3430.95
"1488",3382.4
"1489",3367.82
"1490",3404.29
"1491",3337.11
"1492",3289.59
"1493",3305.72
"1494",3247.03
"1495",3288.52
"1496",3302.57
"1497",3374.93
"1498",3439.22
"1499",3407.83
"1500",3407.83
"1501",3407.83
"1502",3281.46
"1503",3210.94
"1504",3212.82
"1505",3235.35
"1506",3342.77
"1507",3328.13
"1508",3364.76
"1509",3352.58
"1510",3319.24
"1511",3297.52
"1512",3369.26
"1513",3347.54
"1514",3361.8
"1515",3361.2
"1516",3328.41
"1517",3348.9
"1518",3366.87
"1519",3396.49
"1520",3357.57
"1521",3372.96
"1522",3425.86
"1523",3438.09
"1524",3438.09
"1525",3491.08
"1526",3565.69
"1527",3548.52
"1528",3537.45
"1529",3537.45
"1530",3533.21
"1531",3593.14
"1532",3559.29
"1533",3588.57
"1534",3564.85
"1535",3569.26
"1536",3569.26
"1537",3516.2
"1538",3600.4
"1539",3575.44
"1540",3621.72
"1541",3669.31
"1542",3665.43
"1543",3626.6
"1544",3635.38
"1545",3562.73
"1546",3596.4
"1547",3655.59
"1548",3651.59
"1549",3684.6
"1550",3700.53
"1551",3668.61
"1552",3671.16
"1553",3671.87
"1554",3737.16
"1555",3752.37
"1556",3750.02
"1557",3721.18
"1558",3730.56
"1559",3777.56
"1560",3788.54
"1561",3748.79
"1562",3761.07
"1563",3819.52
"1564",3820.16
"1565",3809.92
"1566",3766.89
"1567",3834.84
"1568",3867.53
"1569",3939.73
"1570",3946.73
"1571",4003.35
"1572",4030.1
"1573",4026.97
"1574",4000.65
"1575",4074.3
"1576",4142.19
"1577",4139.68
"1578",4223.69
"1579",4203.91
"1580",4131.94
"1581",4139.96
"1582",4297.64
"1583",4384.82
"1584",4320.52
"1585",4368.54
"1586",4400.3
"1587",4377.7
"1588",4458.66
"1589",4405.52
"1590",4336.98
"1591",4302.5
"1592",4325.86
"1593",4364.25
"1594",4428.08
"1595",4342.31
"1596",4333.15
"1597",4377.51
"1598",4237.06
"1599",4195.53
"1600",4077.59
"1601",4080.55
"1602",4190.45
"1603",4251.93
"1604",4204.81
"1605",4090.14
"1606",4076.75
"1607",3993.7
"1608",3992.03
"1609",3897.43
"1610",3919.79
"1611",4001.81
"1612",4127.28
"1613",4062.13
"1614",4093.43
"1615",4073.71
"1616",4131.26
"1617",4104.57
"1618",4028
"1619",3890.24
"1620",3796.61
"1621",3869.53
"1622",3995.69
"1623",3970.44
"1624",4004.04
"1625",3983.06
"1626",4096.85
"1627",4091.77
"1628",4150.95
"1629",4104.93
"1630",4135.09
"1631",4116.52
"1632",4154.89
"1633",4262.98
"1634",4266.17
"1635",4266.17
"1636",4326.35
"1637",4311.13
"1638",4267.4
"1639",4179.92
"1640",4164.62
"1641",4225.27
"1642",4215.23
"1643",4168.62
"1644",4149.92
"1645",4049.16
"1646",4069.25
"1647",4172.47
"1648",4124.86
"1649",3976.38
"1650",3981.44
"1651",3871.39
"1652",3645.69
"1653",3806.66
"1654",3748.88
"1655",3753.66
"1656",3847.73
"1657",3784.8
"1658",3841.39
"1659",3813.88
"1660",3715.38
"1661",3728.37
"1662",3734.79
"1663",3697.48
"1664",3701.94
"1665",3676.65
"1666",3816.71
"1667",3844.14
"1668",3876.9
