"","Month","Day_of_month","Day_of_week","ozone_reading","pressure_height","Wind_speed","Humidity","Temperature_Sandburg","Temperature_ElMonte","Inversion_base_height","Pressure_gradient","Inversion_temperature","Visibility"
"37",2,6,5,2.74,5350,7,62,30,32.54,1341,18,45.86,60
"38",2,7,6,2.21,5480,9,72,36,NA,5000,0,38.66,350
"39",2,8,7,2.83,5600,7,76,42,NA,3799,-18,45.86,250
"40",2,9,1,2.92,5490,11,72,37,38.48,5000,32,38.12,350
"41",2,10,2,4.08,5560,10,72,41,40.46,5000,-1,37.58,300
"42",2,11,3,6.04,5700,3,32,46,NA,5000,-30,45.86,300
"43",2,12,4,8.32,5680,5,50,51,47.12,5000,-8,45.5,300
"44",2,13,5,5.8,5700,4,86,55,49.28,2398,21,53.78,200
"45",2,14,6,4.04,5650,5,61,41,NA,5000,51,36.32,100
"46",2,15,7,3.15,5610,5,62,41,NA,4281,42,41.36,250
"47",2,16,1,7.11,5730,5,66,49,NA,1161,27,52.88,200
"48",2,17,2,10.6,5770,5,68,45,52.88,2778,2,55.76,200
"49",2,18,3,12.77,5770,3,82,55,55.4,442,26,58.28,40
"50",2,19,4,4.1,5700,5,NA,45,38.12,NA,82,NA,2
"51",2,20,5,5.73,5690,8,21,41,43.88,5000,-30,42.26,300
"52",2,21,6,4.85,5700,3,19,45,NA,5000,-53,43.88,300
"53",2,22,7,3.61,5730,11,19,51,NA,5000,-43,49.1,300
"54",2,23,1,4.04,5690,7,19,53,50.18,5000,7,49.1,300
"55",2,24,2,6.04,5640,5,68,50,37.4,5000,24,42.08,300
"56",2,25,3,10.27,5720,6,63,60,53.06,1341,19,59.18,150
"57",2,26,4,15.06,5740,3,54,54,56.48,1318,2,64.58,150
"58",2,27,5,22.89,5740,3,47,53,58.82,885,-4,67.1,80
"59",2,28,6,16.85,5740,3,56,53,NA,360,3,67.1,40
"60",2,29,7,6.91,5670,7,61,44,NA,3497,73,49.46,40
"61",3,1,1,2.26,5550,10,74,40,38.84,5000,73,40.1,80
"62",3,2,2,3.22,5470,7,46,30,29.66,5000,44,29.3,300
"63",3,3,3,2.79,5320,11,45,25,27.68,5000,39,27.5,200
"64",3,4,4,5.2,NA,8,33,39,30.2,5000,15,30.02,500
"65",3,5,5,4.32,5530,3,43,40,36.14,5000,-12,33.62,140
"66",3,6,6,6.13,5600,3,21,45,NA,5000,-2,39.02,140
"67",3,7,7,6.98,5660,7,57,51,NA,5000,30,42.08,140
"68",3,8,1,7.19,5580,5,42,48,40.64,3608,24,39.38,100
"69",3,9,2,5.65,5510,5,50,45,36.86,5000,38,32.9,140
"70",3,10,3,3.01,5530,5,61,47,33.8,5000,56,35.6,200
"71",3,11,4,1.98,5620,9,61,43,37.04,5000,66,34.34,120
"72",3,12,5,7.63,5690,0,60,49,46.04,613,-27,59.72,300
"73",3,13,6,12.22,5760,4,31,56,NA,334,-9,64.4,300
"74",3,14,7,12.17,5740,3,66,53,NA,567,13,61.88,150
"75",3,15,1,15.68,5780,5,53,61,57.92,488,-20,64.94,2
"76",3,16,2,8.7,5790,2,42,63,57.02,531,-15,71.06,50
"77",3,17,3,24.29,5760,3,60,70,58.64,508,7,66.56,70
"78",3,18,4,12.67,5700,4,82,57,50.36,1571,68,56.3,17
"79",3,19,5,8.1,5680,4,57,35,40.1,721,28,55.4,140
"80",3,20,6,10.21,5720,5,21,52,NA,505,-49,67.28,140
"81",3,21,7,8.07,5720,5,19,59,NA,377,-27,73.22,300
"82",3,22,1,8.93,5730,4,32,67,59.54,442,-9,75.74,200
"83",3,23,2,10.18,5710,5,77,57,57.38,902,54,60.44,250
"84",3,24,3,13.02,5750,6,70,NA,56.3,3188,53,58.64,80
"85",3,25,4,13.94,5720,4,71,42,44.96,1381,4,56.3,60
"86",3,26,5,8.9,5710,3,19,55,51.8,5000,-16,50,100
"87",3,27,6,11.22,5600,6,45,40,NA,5000,38,46.94,150
"88",3,28,7,7.21,5630,4,44,39,NA,1302,40,52.7,150
"89",3,29,1,8.6,5690,7,70,57,46.58,1292,-5,53.6,200
"90",3,30,2,12.05,5730,6,45,58,52.52,5000,-14,52.7,100
"91",3,31,3,12.33,5710,3,46,62,52.52,472,34,62.96,300
"92",4,1,4,7.93,5610,6,50,51,50,1404,42,54.5,120
"93",4,2,5,9.09,5680,5,69,61,51.44,944,35,55.76,100
"94",4,3,6,4.78,5620,6,67,34,NA,5000,75,35.24,200
"95",4,4,7,3.82,5420,7,69,35,NA,5000,41,30.92,200
"96",4,5,1,4.33,5540,5,54,35,33.26,5000,62,33.44,200
"97",4,6,2,9.32,5590,6,51,48,38.12,5000,44,42.08,300
"98",4,7,3,13.12,5690,6,63,59,52.88,2014,31,53.42,300
"99",4,8,4,5.09,5550,7,63,41,37.58,5000,56,37.22,250
"100",4,9,5,10.07,5620,7,57,58,46.76,5000,27,47.66,120
"101",4,10,6,10.21,5630,6,61,51,NA,524,57,54.68,140
"102",4,11,7,6.95,5580,7,78,46,NA,5000,55,38.48,200
"103",4,12,1,4.81,5560,4,65,40,34.7,5000,59,35.24,140
"104",4,13,2,3.65,5440,5,44,35,33.08,5000,24,32.54,80
"105",4,14,3,6.76,5480,7,51,46,37.4,2490,29,47.48,300
"106",4,15,4,2.88,5620,5,73,39,39.56,5000,107,31.28,100
"107",4,16,5,4.34,5450,11,35,32,NA,5000,36,33.44,300
"108",4,17,6,7.28,5660,6,35,47,NA,5000,28,39.38,200
"109",4,18,7,10.71,5680,6,61,50,NA,1144,30,53.6,120
"110",4,19,1,14.89,5760,4,50,65,56.3,547,1,66.92,100
"111",4,20,2,21.9,5790,4,57,66,63.68,413,10,69.62,120
"112",4,21,3,17.32,5720,5,68,69,60.8,610,46,63.68,60
"113",4,22,4,7.26,5660,6,58,59,42.8,3638,81,51.26,120
"114",4,23,5,9.69,5710,5,65,64,56.3,3848,45,56.84,100
"115",4,24,6,18.7,5780,7,78,68,NA,1479,40,68,100
"116",4,25,7,17.98,5750,7,73,49,NA,1108,55,65.48,27
"117",4,26,1,12.23,5700,5,41,52,49.64,869,0,58.1,40
"118",4,27,2,5.73,5620,9,47,56,39.92,5000,43,38.3,140
"119",4,28,3,8.68,5650,6,46,55,40.82,5000,49,37.94,150
"120",4,29,4,18.79,5730,5,61,66,59.72,1148,31,60.8,100
"121",4,30,5,21.12,5810,4,55,74,67.28,856,4,75.38,100
"122",5,1,6,28.76,5790,4,60,76,NA,807,16,73.04,120
"123",5,2,7,16.28,5740,8,78,70,NA,2040,46,63.5,150
"124",5,3,1,5.16,NA,8,62,NA,NA,NA,NA,NA,NA
